amenity,brand,brand:wikidata,brand:wikipedia,name,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,branch,opening_hours,addr:suburb,operator,ref:linz:address_id,note,compressed_air,fuel:diesel,fuel:octane_91,fuel:octane_95,phone,website,source,wheelchair,fuel:electricity,fuel:lpg,fuel:octane_98,self_service,official_name,fuel:HGV_diesel,payment:cash,payment:girocard,payment:mastercard,payment:visa,shop,name:mi,nodes,landuse,layer,payment:credit_cards,building,height,diesel,fuel:GTL_diesel,fuel:cng,fuel:e10,fuel:e85,source:geometry,building:levels,roof:shape,toilets,atm,cafe,car_wash,check_date,payment:american_express,payment:visa_debit,service,contact:phone,fuel:adblue,fuel:octane_100,payment:debit_cards,smoking,operator:wikidata,start_date,ways,type
fuel,BP,Q152057,en:BP,BP Petrol Station Halswell Road,POINT (172.5709601 -43.5718258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.5347836 -43.5199871),Christchurch,NZ,2,8042,Russley Road,Russley,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.6212144 -43.4902606),Christchurch,NZ,500,8051,Cranford Street,Cranford Street,06:00-00:00,Redwood,Caltex,210842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil,POINT (172.7016575 -43.5176852),,,,,,,,,,,TODO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.6713352 -43.5327396),Christchurch,NZ,,8011,Linwood Avenue,Linwood,24/7,,Z Energy,,,yes,yes,yes,yes,+64 3 389 8115,http://z.co.nz/about-z/find-us/canterbury-and-christchurch/z-linwood/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.6164203 -43.4789024),Christchurch,NZ,315,8051,Main North Road,Redwood,24/7,Redwood,Caltex,210118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil Wigram,POINT (172.5464036 -43.5435011),,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP Fendalton,POINT (172.5898077 -43.5187113),Christchurch,NZ,1,,Memorial Avenue,,,,BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.6277422 -43.4517228),,,,,,Belfast,24/7,,Z Energy,,,,yes,yes,yes,+64 3 323 8715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.6043366 -43.5291401),Christchurch,NZ,64-66,8011,Riccarton Road,Riccarton,24/7,,Caltex,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil,POINT (172.6090734 -43.5292831),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.555971 -43.5117196),Christchurch,NZ,202,8042,Withells Road,Avonhead,"Mo-Fr 06:00-21:00; We 06:00-22:00; Sa,Su 07:00-21:00",Avonhead,Caltex,169291,,yes,yes,yes,yes,,,local_knowledge,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP Sawyers Arms Road,POINT (172.5928073 -43.4812281),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.5878824 -43.487676),Christchurch,NZ,318,,Harewood Road,Bishopdale,Mo-Su 06:00-24:00,Bishopdale,,188203,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.5930428 -43.4898107),Christchurch,NZ,210,,Harewood Road,Bishopdale,24/7,,,,,,yes,yes,yes,+64 3 359 4681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil,POINT (172.6082268 -43.4956428),Christchurch,NZ,23,8053,Main North Road,Papanui,,Papanui,,203389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP 2go,POINT (172.6097839 -43.499558),Christchurch,NZ,461,8053,Papanui Road,Papanui,05:30-22:00,Papanui,,1734691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP 2GO Mairehau,POINT (172.6423819 -43.4976706),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.6076296 -43.5105435),,NZ,52,,Strowan Road,Bryndwr,Mo-Su 06:00-23:00,,,,,,yes,yes,yes,+64 3 355 8902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Challenge,Q5068888,en:Challenge (company),Challenge Hills Road,POINT (172.6518684 -43.5183973),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Gull,Q111949119,en:Gull Petroleum,Gull,POINT (172.6561234 -43.5218711),Christchurch,NZ,261,8013,Stanmore Road,Stanmore,24/7,,,,,,yes,yes,yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP Dallington,POINT (172.67343 -43.5255398),Christchurch,NZ,712,,Gloucester Street,,,,BP,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,,,,Allied Wainoni,POINT (172.6921195 -43.5118722),Christchurch,NZ,175,8061,Wainoni Road,,Mo-Su 06:00-23:59,,,,,,,,,+64 3 388 4373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z Woolston,POINT (172.6679775 -43.5433243),Christchurch,NZ,417,8023,Ferry Road,Woolston,24/7,Woolston,Z Energy,252581,,yes,yes,yes,yes,+64 3 389 2292,http://z.co.nz/about-z/find-us/canterbury-and-christchurch/z-woolston/,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.6085758 -43.5458225),Christchurch,NZ,250,,Lincoln Road,Addington,24/7,,,,,,yes,yes,yes,+64 3 338 8795,https://z.co.nz,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,POINT (172.5957122 -43.5378398),Christchurch,NZ,149,,Blenheim Road,Blenheim Road,24/7,,Caltex,,,,yes,yes,yes,+64 3 343 0322,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,,,,Parkhouse Service Station,POINT (172.5674282 -43.5446944),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,G.A.S.,Q112189761,,g.a.s. Hornby,POINT (172.5274556 -43.5387832),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,POINT (172.5286455 -43.5381532),Christchurch,NZ,,8042,Carmen Road,Hornby,24/7,,,,,,yes,yes,yes,+64 3 349 9129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP Truckstop,POINT (172.6858461 -43.5648638),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Challenge,Q5068888,,Challenge,POINT (172.7320484 -43.523239),,,,,,New Brighton,Mo-Fr 07:00-20:00; Sa 08:00-20:00; Su 08:00-19:00,,,,,,yes,yes,yes,+64 3 388 9504,https://challenge.net.nz/challenge-stations/station/challenge-southshore,,,,,,,Challenge New Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,npd,Q110922616,,npd,POINT (172.5994083 -43.5506926),Christchurch,NZ,55,8024,Lincoln Road,Lincoln Road,Mo-Fr 06:00-22:00; Sa 07:00-22:00; Su 07:00-21:00,Hillmorton,,199888,,,yes,yes,yes,+64 3 338 5756,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Challenge,Q5068888,en:Challenge (company),Challenge,POINT (172.6020576 -43.5047403),Christchurch,NZ,52,8052,Blighs Road,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Independent,,,,POINT (172.5115648 -43.549038),,,,,,,24/7,,,,,,yes,yes,,,,,no,,,,,,yes,no,yes,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,,,,Pak'nSave Fuel,POINT (172.6925703 -43.5124812),,,,,,,24/7,,Foodstuffs,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP Linwood,POINT (172.6875437 -43.5419858),Christchurch,NZ,457,,Linwood Avenue,,,,BP,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil,POINT (172.6577284 -43.5630383),,,,,,,,,Mobil NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,npd,Q110922616,,npd,POINT (172.6568473 -43.5226733),,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,,,,,POINT (172.5680016 -43.5442686),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Gull,Q111949119,en:Gull Petroleum,Gull Woolston,POINT (172.6715645 -43.5452503),Christchurch,NZ,464,8023,Ferry Road,Woolston,24/7,,,,,yes,yes,yes,yes,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,,,Mobil Yaldhurst,POINT (172.5041281 -43.5122192),,,,,,,,,Mobil,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Waitomo,Q112569504,,Waitomo Cranford,POINT (172.6285572 -43.4984248),,NZ,,,,,24/7,,,,,,yes,yes,yes,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Waitomo,Q112569504,,Waitomo,POINT (172.679716 -43.5472228),,,,,,Woolston,,,,,,yes,,,,,,,,,,,,,,,,,,,Waitomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,,BP Connect,POINT (172.6083515 -43.564448),,,,,,Hoon Hay,24/7,,,,,,yes,yes,,+64 3 982 7300,,,,,,yes,,BP Connect Hoon Hay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z Templeton,"POLYGON ((172.4882871 -43.5493368, 172.488227 -43.5494115, 172.4881326 -43.5493617, 172.4880038 -43.5494737, 172.4883214 -43.5496541, 172.488433 -43.549567, 172.4883783 -43.5495344, 172.4884931 -43.5494675, 172.4882871 -43.5493368))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[415302559, 415302560, 415302561, 415302562, 415302563, 415302564, 4111382327, 415302565, 415302559]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,"POLYGON ((172.6369547 -43.5652281, 172.6364808 -43.5651171, 172.6364777 -43.5650128, 172.6363421 -43.565016, 172.6363435 -43.5650812, 172.6361292 -43.5652811, 172.6367627 -43.5656545, 172.636801 -43.5656125, 172.6368801 -43.5654592, 172.6369547 -43.5652281))",,,,,,Cashmere,Mo-Su 06:00-24:00,,,,,,yes,yes,yes,+64 3 332 2646,https://z.co.nz,,yes,,,,,,,,,,,,,"[486849593, 9351495628, 9351495627, 9351495626, 486849598, 4413017132, 486849604, 9351495625, 486849606, 486849593]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Caltex,Q277470,en:Caltex,Caltex,"POLYGON ((172.5228827 -43.5438046, 172.5229089 -43.5439102, 172.5227398 -43.5439323, 172.522778 -43.5440866, 172.5231113 -43.5440432, 172.5230469 -43.5437832, 172.5228827 -43.5438046))",Christchurch,NZ,,8042,Main South Road,Hornby,,,Caltex,,,,,,,,,,,,,,,,,,,,,,,"[524866606, 524866607, 524866608, 524866612, 524866615, 524866619, 524866606]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,PAK'nSAVE Fuel,Q115215489,,PAK'nSAVE Fuel,"POLYGON ((172.6391259 -43.539428, 172.6393864 -43.539427, 172.6393875 -43.5395893, 172.639127 -43.5395903, 172.6391259 -43.539428))",,,,,,,24/7,,,,,,yes,yes,,,,Bing,yes,,,,,,,,,,,,,"[1172151460, 1176480485, 1172151463, 1172151464, 1172151460]",,1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP,"POLYGON ((172.5462483 -43.5430991, 172.5461117 -43.5431503, 172.5459988 -43.542992, 172.5460692 -43.5429656, 172.5460241 -43.5429024, 172.5460489 -43.5428931, 172.5459997 -43.5428241, 172.5461486 -43.5427683, 172.5461955 -43.542834, 172.546088 -43.5428742, 172.5462483 -43.5430991))",,,,,,,,,,,,,,yes,,,,"Bing, Mar/2008",,,,,,,,,,,,,,"[1174650924, 1174651533, 1174651176, 1174650979, 1174651039, 1174652046, 1174652038, 1174651475, 1174651292, 1174651191, 1174650924]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,"POLYGON ((172.6270921 -43.5199287, 172.6268629 -43.5200199, 172.6269153 -43.5200891, 172.6269639 -43.5200698, 172.6271444 -43.5199979, 172.6270921 -43.5199287))",Christchurch,NZ,1,,Papanui Road,Carlton Corner,24/7,,,,,,yes,yes,yes,+64 3 355 9532,,,,,,,,,,,,,,,,"[1527793388, 1527793352, 1527793445, 9861795588, 1527793444, 1527793388]",,,,retail,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Challenge,Q5068888,en:Challenge (company),Rocky Point,"POLYGON ((172.6767521 -43.5633756, 172.6768062 -43.5634188, 172.6768307 -43.563401, 172.6768786 -43.5633663, 172.6768245 -43.5633238, 172.6767521 -43.5633756))",,,,,,,,,Challenge,,,,,,,,,Bing;survey,,,,,,,,,,,,,,"[1705269808, 1705269809, 1705269810, 1705269811, 1705269812, 1705269808]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil,"POLYGON ((172.6371795 -43.5501594, 172.6371788 -43.5500525, 172.6372802 -43.5500522, 172.6372809 -43.550159, 172.6371795 -43.5501594))",,,,,,Sydenham,24/7,,Mobil,,,,,,yes,,,Bing,,,,,,,,,,,,,,"[1930116704, 1930116701, 1930116700, 1930116703, 1930116704]",,,,retail,,yes,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP2Go Redcliffs,"POLYGON ((172.7378081 -43.5614808, 172.7377051 -43.5614015, 172.7376082 -43.5614676, 172.7378116 -43.5616244, 172.7379086 -43.5615583, 172.7378398 -43.5615053, 172.7378081 -43.5614808))",,,,,,,,,,,,,yes,yes,no,,,Ground truth,,no,yes,yes,,,no,,,,,,,"[2140974333, 2140974335, 2140974331, 2140974337, 2140974334, 2140974338, 2140974333]",,,,retail,,,no,no,no,no,LINZ,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP Connect,"POLYGON ((172.5763169 -43.5312173, 172.5763259 -43.5312776, 172.576347 -43.5314261, 172.5762563 -43.5314311, 172.576251 -43.5313961, 172.5761776 -43.5314018, 172.5761901 -43.5314859, 172.5760504 -43.5314969, 172.5760144 -43.5312566, 172.5761483 -43.5312461, 172.576159 -43.5313172, 172.576239 -43.5313109, 172.5762261 -43.5312244, 172.5763169 -43.5312173))",Christchurch,NZ,336,,Riccarton Road,Bush Inn,,Upper Riccarton,,183271,,,,,,,,,yes,,,,,,,,,,,,,"[2166372233, 9393260350, 2166372284, 2166372242, 2166372241, 2166372254, 2166372264, 2166372257, 2166372261, 2166372275, 2166372239, 2166372273, 2166372230, 2166372233]",,1,,retail,,,,,,,,1,flat,,,,,,,,,,,,,,,,,
fuel,Z,Q8063337,en:Z Energy,Z,"POLYGON ((172.6572037 -43.5480984, 172.6573204 -43.5481087, 172.6572899 -43.5482894, 172.6571887 -43.5482802, 172.6571733 -43.5482788, 172.6571975 -43.5481349, 172.6572037 -43.5480984))",Christchurch,NZ,495,,Brougham Street,Brougham Street,24/7,,,,,yes,yes,yes,yes,+64 3 379 6421,http://z.co.nz/about-z/find-us/canterbury-and-christchurch/z-brougham-st/,,yes,,,,,,,,,,,,,"[4386923556, 3902429104, 3902429105, 9348570244, 6110251874, 6110251873, 4386923556]",,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Challenge,Q5068888,en:Challenge (gasoline),Challenge Opawa,"POLYGON ((172.6543251 -43.5473035, 172.654498 -43.5472036, 172.6544811 -43.5471883, 172.6545217 -43.5471648, 172.6544817 -43.5471284, 172.654449 -43.5471473, 172.6544049 -43.5471072, 172.6543695 -43.5471277, 172.6543439 -43.5471044, 172.6541986 -43.5471884, 172.6543251 -43.5473035))",Christchurch,NZ,11,8023,Opawa Road,,24/7,Waltham,,237665,,,,,,+64 3 379 5549,http://www.challenge.net.nz/en/Where-to-find-Us/Canterbury/ohallenge-opawa/,,,,,,,,,,,,,,,"[3902429113, 3902429114, 3902429115, 3902429116, 3902429117, 3902429118, 3902429119, 3902429120, 3902429121, 3902429122, 3902429113]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,en:BP,BP,"POLYGON ((172.5706632 -43.571988, 172.5708978 -43.572066, 172.5708243 -43.5721822, 172.5705896 -43.5721042, 172.5706632 -43.571988))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4416998124, 4416998127, 4416998139, 4416998133, 4416998124]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,BP,Q152057,,BP,"POLYGON ((172.7103569 -43.4952338, 172.7105266 -43.4952458, 172.7104883 -43.4955306, 172.7103186 -43.4955185, 172.7103569 -43.4952338))",,,,,,QE II,24/7,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,"[4437029027, 4437029031, 4437029068, 4437029066, 4437029027]",,,,roof,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mckeown,,,Mckeown,"POLYGON ((172.6458632 -43.5351214, 172.6458145 -43.5351593, 172.6458155 -43.5351711, 172.6458662 -43.5352049, 172.6458931 -43.5352035, 172.645934 -43.5351712, 172.6458632 -43.5351214))",Christchurch,NZ,281,8011,Barbadoes Street,,,Christchurch Central,,,,,yes,yes,yes,,,,,,,,yes,,,,,,,,,"[4474433339, 7252153969, 1172251631, 4474433342, 4474433341, 4474433340, 4474433339]",,1,,roof,,,,,,,,,,,,,,,,,,,,,,,,,,
fuel,Mobil,Q109676002,ja:モービル (ブランド),Mobil,"POLYGON ((172.6176088 -43.4734683, 172.6175146 -43.4734644, 172.6175408 -43.4731346, 172.617635 -43.4731385, 172.6176207 -43.4732916, 172.6176128 -43.4733612, 172.6176088 -43.4734683))",,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,"[4572092715, 4572092713, 1283645353, 4572092714, 4572092710, 4572092709, 4572092715]",,1,,roof,,,,,,,,,,,,,,,,,,,,,,,,,,
